onset	duration	sample	trial_type	response_time	stim_file	value
0.0000000000	n/a	n/a	STATUS	n/a	n/a	boundary
190.9480000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
193.2480000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
194.0680000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
198.6320000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
200.9140000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
201.5560000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
206.3180000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
208.5980000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
209.9120000000	n/a	n/a	Response: Correct	n/a	n/a	S200
213.8840000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
216.1660000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
217.0600000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
221.4000000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
223.6820000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
224.2720000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
229.3200000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
231.6020000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
232.2960000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
236.9880000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
239.2700000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
240.2640000000	n/a	n/a	Response: Correct	n/a	n/a	S200
244.7380000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
247.0200000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
247.9120000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
252.3400000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
254.6200000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
255.4760000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
259.8900000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
262.1720000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
262.8440000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
267.4900000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
269.7720000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
270.5960000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
270.6600000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
272.4320000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
276.8520000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
279.1340000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
279.6880000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
284.4180000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
286.7000000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
287.4160000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
292.1360000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
294.4180000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
295.1040000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
299.5860000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
301.8680000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
303.5120000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
307.3880000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
309.6700000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
311.7080000000	n/a	n/a	Response: Correct	n/a	n/a	S200
315.2400000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
317.5220000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
318.9300000000	n/a	n/a	Response: Correct	n/a	n/a	S200
322.9920000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
325.2740000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
325.8780000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
330.6420000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
332.9240000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
333.3980000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
338.1080000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
340.3900000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
341.1460000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
341.2120000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
342.7100000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
347.4700000000	n/a	n/a	Stim Onset: 3 Red + 2 yellow	n/a	n/a	S  2
349.7520000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
350.5540000000	n/a	n/a	Response: Inorrect	n/a	n/a	S201
350.6080000000	n/a	n/a	Mind Wandering Probe	n/a	n/a	S 50
352.6300000000	n/a	n/a	Mind Wandering: No	n/a	n/a	S 52
357.3520000000	n/a	n/a	Stim Onset: 5 Red	n/a	n/a	S  3
359.6340000000	n/a	n/a	Question Mark Probe: "Out"	n/a	n/a	S100
360.7460000000	n/a	n/a	Response: Correct	n/a	n/a	S200
365.1720000000	n/a	n/a	Stim Onset: 3 Red	n/a	n/a	S  1
367.4540000000	n/a	n/a	Question Mark Probe: "In"	n/a	n/a	S101
